School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
HS FOR MEDICAL PROFESSIONS - K,K,18,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FLOOD,8222000,CIP,K500,1600 ROCKAWAY PKWY,Brooklyn,11236,BROOKLYN ,40.641474,-73.898254,18,46,990,3230949,3082220001,Canarsie                                                                   ,"(40.641474, -73.898254)"
PRE-K CENTER @ 369 93RD STREET,K,20,New,27637000,CAP,K613,369 93RD STREET,Brooklyn,11209,BROOKLYN ,40.618041,-74.031381,10,43,58,3155119,3061030042,Bay Ridge                                                                  ,"(40.618041, -74.031381)"
WEST END SECONDARY SCHOOL - MA,M,78,Lease,13694000,CAP,M837,227-243 WEST 61 STREET,Manhattan,10023,MANHATTAN,40.772007,-73.987479,7,6,151,1030328,1011540108,Lincoln Square                                                             ,"(40.772007, -73.987479)"
P.S. 119 - BROOKLYN,K,22,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5447000,CIP,K119,3829 AVENUE K,Brooklyn,11210,BROOKLYN ,40.625662,-73.938265,18,45,734,3215816,3077860001,Flatlands                                                                  ,"(40.625662, -73.938265)"
P.S. 418 - BROOKLYN,K,15,PUBLIC ADDRESS SYS REPLACEMENT/FA SYS REPLACEMENT,1232000,CIP,K834,512 CARROLL STREET,Brooklyn,11215,BROOKLYN ,40.676668,-73.985258,6,39,119,3007707,3004550001,Park Slope-Gowanus                                                         ,"(40.676668, -73.985258)"
P.S. 33 - BRONX,X,10,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,4829000,CIP,X033,2424 JEROME AVENUE,Bronx,10468,BRONX    ,40.86185,-73.90176,5,14,239,2014099,2031880020,Fordham South                                                              ,"(40.86185, -73.90176)"
P.S. 101 - BROOKLYN,K,21,Addition,65999000,CAP,K101,2360 BENSON AVENUE,Brooklyn,11214,K,40.597863,-73.991693,311,47,302,3185973,3068750032,Bensonhurst East,"(40.597863, -73.991693)"
BROOKLYN COLLEGIATE: A COLLEGE,K,23,LOW VOLTAGE ELECTRICAL SYSTEM,867000,CIP,K055,2021 BERGEN STREET,Brooklyn,11233,BROOKLYN ,40.674103,-73.913273,16,41,36501,3038939,3014480001,Ocean Hill                                                                 ,"(40.674103, -73.913273)"
P.S. 185 - MANHATTAN,M,3,PLAY YARD SURFACE DEFECTS,2330000,CIP,M185,20 WEST 112 STREET,Manhattan,10026,MANHATTAN,40.798511,-73.949251,10,9,186,1051410,1015950015,Central Harlem South                                                       ,"(40.798511, -73.949251)"
P.S. 884 - BROOKLYN,K,84,Lease,0,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226,BROOKLYN ,40.648568,-73.957639,14,40,794,3117232,3051030101,Erasmus                                                                    ,"(40.648568, -73.957639)"
P.S. 42 - QUEENS,Q,27,SANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC,15125767,CIP,Q042,488 BEACH 66 STREET,Queens,11692,QUEENS   ,40.594538,-73.795304,14,31,964,4302817,4160390014,Hammels-Arverne-Edgemere                                                   ,"(40.594538, -73.795304)"
P.S. 191 - BROOKLYN,K,17,EXTERIOR MASONRY/PARAPETS/ROOFS,3497000,CIP,K191,1600 PARK PLACE,Brooklyn,11233,BROOKLYN ,40.672005,-73.924329,8,41,359,3036635,3013750012,Crown Heights North                                                        ,"(40.672005, -73.924329)"
P.S. 102 - BROOKLYN,K,20,WATER INFILTRATION/ROOFS/EXT MASONRY,11467000,CIP,K102,211 72 STREET,Brooklyn,11209,BROOKLYN ,40.63402,-74.029036,10,43,68,3146491,3058900001,Bay Ridge                                                                  ,"(40.63402, -74.029036)"
P.S. 46 - BRONX,X,10,Addition,84478000,CAP,X046,279 EAST 196 STREET,Bronx,10458,BRONX    ,40.866827,-73.890725,7,15,40501,2094729,2032950001,Bedford Park-Fordham North                                                 ,"(40.866827, -73.890725)"
I.S. 296 - BRONX,X,7,FY15 RESO A LIBRARY UPGRADE,749000,CIP,X184,778 FOREST AVENUE,Bronx,10456,BRONX    ,40.818874,-73.905927,1,17,77,2004690,2026550030,Melrose South-Mott Haven North                                             ,"(40.818874, -73.905927)"
I.S. 117 - BRONX,X,9,SCIENCE LAB UPGRADES/SCIENCE LAB UPGRADES,2074000,CIP,X117,1865 MORRIS AVENUE,Bronx,10453,BRONX    ,40.848516,-73.908427,5,14,23301,2007902,2028270001,Mount Hope                                                                 ,"(40.848516, -73.908427)"
K140 SPED - BROOKLYN,K,13,PUBLIC ADDRESS SYSTEM,868000,CIP,K258,141 MACON STREET,Brooklyn,11216,BROOKLYN ,40.681572,-73.945446,3,36,269,3053075,3018450001,Bedford                                                                    ,"(40.681572, -73.945446)"
